text,image_path,label
"cái giường mà tui mơ ước",anh_01.jpg,0
"Đừng để anh kg cho vay nhé Nóng rồi đấy Muốn vay tiền cần ngoan hợp tác nữa Còn mấy anh chị thì Em chiều hết Vay tiền đi mấy aec em",anh_02.jpg,2
"BÁO CÔNG THƯƠNG GỌI SỰ NGHIỆP CHƯỚNG CỦA PHÁO LÀ CON NHẶNG VO VE, ẢNH HƯỞNG TỚI NGHỆ THUẬT VÀ VĂN HÓA DÂN TỘC Dù đã bị giới hạn độ tuổi và biến mất khỏi top thịnh hành Youtube Sự Nghiệp Chướng vẫn là 1 hiện tượng nổi đình nổi đám. Đây có thể sẽ là 1 trong những diss track thành công nhất lịch sử Việt Nam. Drama của Viruss và những cô nàng hẹn hò những chưa chắc đã yêu đã khiến truyền thông dậy sóng trong những tuần qua. Từ tin tức đến lĩnh vực giải trí đều có sự xuất hiện của những cái tên như: Viruss, Pháo, Ngọc Kem,... Cùng với làn sóng đấu khẩu trên mạng, Sự Nghiệp Chướng món quà của Pháo dành tặng cho anh V bất ngờ chiếm giữ vị trí dẫn đầu nhiều BXH âm nhạc tại Việt Nam. Chen chân vào giữa cuộc đua của Bắc Bling của Hòa Minzy và Dacning In The Dark của Soobin, diss track bất ngờ vượt mặt cả 2 và chiếm dữ vị trí dẫn đầu trong nhiều ngày.Trong những ngày đầu năm, khi Bắc Bling của Hòa Minzy chạm mốc 100 triệu lượt xem trên YouTube, lan tỏa năng lượng tích cực, khơi dậy tình yêu văn hóa dân gian trong lòng công chúng, thì ở một chiều ngược lại, bản Sự nghiệp chướng của Pháo lại trở thành một… nghiệp vụ truyền thông lạ đời, khiến dư luận dậy sóng, báo giới hoang mang và cộng đồng mạng chia rẽ. Cái đáng ngại ở đây không chỉ là một ca khúc thiếu giá trị nghệ thuật, mà còn là nghi vấn một chiến dịch truyền thông bẩn sử dụng công chúng như công cụ seeding, biến khán giả thành nhân vật phụ cho một màn kịch tự biên tự diễn. Mới đậy, Bộ Văn hóa Thẻ thao và Du lịch đã ra chỉ đạo về việc điều tra drama Viruss nói chung và Sự Nghiệp Chướng nói riêng",anh_03.jpg,1
"Chưa chính thức sáp nhập tỉnh. Mà các đồng chí đã cắn xé nhau, phân biệt vùng miền, mạt sát nhau như thế này đây. Nghe nói đây là những lời lẽ của một cán bộ thanh tra Sở tài chính tỉnh Hà Tĩnh, khi có tin sát nhập với tỉnh Quảng Bình.",anh_04.jpg,2
"Một tai nạn đuối nước đau lòng đã xảy ra tại huyện Hải Hà, tỉnh Quảng Ninh, khiến cộng đồng địa phương vô cùng lo lắng và đau buồn. Ngay khi nhận được thông tin, chính quyền huyện đã nhanh chóng huy động lực lượng Công an, bộ đội, dân quân cùng với sự hỗ trợ của người dân để tiến hành tìm kiếm các nạn nhân. Đến nay, lực lượng chức năng đã tìm thấy hai thi thể. Một trong số đó đã được đưa đến Trung tâm Y tế huyện Hải Hà để cấp cứu kịp thời. Hiện tại, cuộc tìm kiếm vẫn đang tiếp tục với quyết tâm cao nhất để tìm kiếm hai nạn nhân còn mất tích. Chúng ta hãy cùng nhau cầu nguyện cho sự an lành của các nạn nhân và gửi lời cảm ơn đến những người đã và đang nỗ lực không ngừng trong công tác tìm kiếm và cứu hộ.",anh_05.jpg,0
"DRAMA MIẾN DONG SÙNG BẦU VÀ NHÀ CUNG CẤP Sự việc xoay quanh TikToker Sùng Bầu, chủ thương hiệu miến dong nổi tiếng, và ông P., nhà cung cấp miến dong, đang gây xôn xao dư luận khi ông P. tố cáo Sùng Bầu ép giá, đặt hàng số lượng lớn rồi hủy hợp đồng, khiến ông lâm vào cảnh nợ nần gần 15 tỷ đồng do đầu tư mở rộng sản xuất theo lời hứa của Sùng Bầu. Ông P. cho biết miến dong của ông được Sùng Bầu bán lại với giá gấp đôi, từ 45.000 đồng/kg lên 110.000 đồng/kg, trong khi Sùng Bầu cho rằng đó là chi phí vận hành, phí sàn, và lợi nhuận hợp lý. Một bộ phận khán giả bênh vực Sùng Bầu, cho rằng chênh lệch giá là bình thường trong kinh doanh. Nhưng vụ việc đặt ra nhiều câu hỏi về tính minh bạch trong kinh doanh online của các KOLs và tầm quan trọng của hợp đồng pháp lý rõ ràng trong các mối quan hệ hợp tác. Hiện tại, Sùng Bầu vẫn chưa lên tiếng chính thức về những cáo buộc này, khiến dư luận chia rẽ và chờ đợi lời giải thích từ người trong cuộc.",anh_06.jpg,1
"Khi nhắc đến lĩnh vực giao nhận trên phạm vi toàn cầu, UPS là một trong những cái tên hàng đầu mà bất kỳ ai cũng nghĩ đến. Với mạng lưới vận chuyển phủ sóng hàng trăm quốc gia và vùng lãnh thổ, UPS không chỉ đơn thuần là một công ty giao hàng, mà còn là một đối tác quan trọng cho hàng triệu doanh nghiệp và cá nhân trên khắp thế giới. Sự tin cậy và hiệu quả trong từng lô hàng đã trở thành một phần không thể thiếu trong cam kết dịch vụ của UPS. Tuy nhiên, giống như mọi gã khổng lồ trong ngành, UPS cũng phải đối mặt với vô số thách thức trong bối cảnh thị trường không ngừng biến động. Việc quản lý một mạng lưới vận chuyển phức tạp và rộng lớn đòi hỏi sự đầu tư không ngừng vào công nghệ và quy trình. Áp lực về thời gian giao hàng ngày càng rút ngắn, yêu cầu về chất lượng dịch vụ ngày càng cao, cùng với những biến động về chi phí vận hành và các vấn đề liên quan đến môi trường, tất cả đều đặt ra những bài toán hóc búa cho UPS. Vậy, UPS đã tìm ra những chiến lược và giải pháp nào để vượt qua những thách thức này? Hãy cùng mình khám phá nhé!",anh_07.jpg,0
"JACK - J97 BẤT NGỜ VIẾT TÂM THƯ GIỮA ĐÊM  Khuya 21/5, Jack - J97 chia sẻ dòng tâm sự về quá khứ, những nỗi đau, tổn thương trong sự nghiệp trên trang cá nhân. Cụ thể, anh viết: Lần cuối và gần nhất tao còn cảm xúc, thấy được đau lòng là lúc Ngoại không còn nhận ra tao là cháu của bà, lần buồn cười nhất là lời đề nghị liếm gót giày để trở thành một sản phẩm truyền thông giải trí, hàng trăm điều đen tối. tao chẳng những không sợ gây thù, tao sẽ đưa vào tận xương tủy, nhớ từng trò bẩn thỉu từng bên, từng gương mặt, từng ngày… khi chín muồi, Tao sẽ là thằng duy nhất trong ngành mò đến tận cùng hang ổ, sẽ là cái gai trong mắt đến nỗi đau nhức sưng tấy lên. Ngày nào còn thở thì còn phục vụ khán giả, ngày nào còn thở tao vẫn sẽ đứng đó và thu hẹp mục tiêu",anh_08.jpg,1
"XUẤT HIỆN BÀ XUÂN TƯỚNG CƯỚP Không phải Xuân tóc đỏ của Vũ Trọng Phụng, cũng không mang danh tướng cướp, nhưng bà Xuân đã làm cho cả nước hãi hùng, run sợ. Là một đại biểu, ngồi bàn giấy, đi xe sang, mặc đồ đẹp, tiền tiêu không hết, nhưng bà Xuân vẫn tìm cách tăng thu, bà không thu nhà giàu, không thu quan tham, mà lại thu dân lành.  Có phải chăng ghế bà ngồi là gặp thời, bà được thăng tiến là do cất nhắc, chạy chọt, nhưng vẫn cuối cùng lộ cái bản chất … thực dân của bà. Chỉ có những kẻ ba không, không có tài năng, không có đạo đức, không có trí tuệ, mới có thể nghĩ đến chuyện vắt kiệt dân đen như bà, đến cả thực dân cũng chưa làm vậy Một tờ giấy phạt tích tắc có thể khiến một gia đình tan nát, bán đất, tha hương, khó thế bà cũng nghĩ ra ha Bà Xuân đại diện cho một kiểu người vô học nhưng gặp thời. Đó là thời của chạy chức, chạy ghế, trên bóc lột dưới, thói giả dối lên ngôi, cường hào khắp chốn, được mạnh hiếp yếu ÔI BÀ XUÂN TƯỚNG CƯỚP",anh_09.jpg,2
"Sau khi nghiên cứu và đánh giá các giá trị mà công viên địa chất Lý Sơn đang lưu giữ, nhận thấy rằng việc xây dựng BẢO TÀNG ĐỊA CHẤT LÝ SƠN là thật sự cần thiết. Với việc lên kế hoạch nghiên cứu thiết kế BẢO TÀNG ĐỊA CHẤT LÝ SƠN cùng các chức năng lãm nghệ thuật triển lãm ngoài trời, nghiên cứu địa chất, trải nghiệm dịch vụ, thư viện nghiên cứu, workshop giới thiệu quảng bá rộng rãi môi trường địa chất, kết hợp quảng bá văn hóa, qua đó mang tính giáo dục nhân văn thức đẩy công việc tại địa phương, đẩy mạnh sự phát triển du lịch địa chất trong quan thể công viên địa chất Lý Sơn.",anh_10.jpg,0
